name,category,age_bracket,focus_duration,play_mode,interest_fit,price
Junior Chemist Kit #34,STEM,9-12 years,15-30 minutes,independent,animals and nature,51.3
Rube Goldberg Kit #35,STEM,9-12 years,15-30 minutes,independent,animals and nature,66.67
Plant Growth Lab #36,STEM,6-9 years,15-30 minutes,independent,animals and nature,55.96
Telescope for Kids #37,STEM,0-3 years,5-10 minutes,independent,animals and nature,111.53
Junior Engineer Set #38,STEM,3-6 years,15-30 minutes,independent,creative arts and expression,108.78
Magnetic Science Set #39,STEM,3-6 years,30+ minutes,social,creative arts and expression,37.8
Telescope for Kids #40,STEM,6-9 years,15-30 minutes,independent,creative arts and expression,30.04
Solar Robot Kit #41,STEM,6-9 years,15-30 minutes,social,animals and nature,10.77
Stomp Rocket Set #42,STEM,6-9 years,30+ minutes,independent,animals and nature,115.49
Bug Exploration Kit #43,STEM,9-12 years,15-30 minutes,independent,fantasy and adventure,104.11
Coding Robot #44,STEM,3-6 years,30+ minutes,independent,fantasy and adventure,73.37
Eco Adventure Pack #45,STEM,0-3 years,5-10 minutes,social,creative arts and expression,28.49
Rube Goldberg Kit #46,STEM,3-6 years,5-10 minutes,social,creative arts and expression,41.36
Bug Exploration Kit #47,STEM,0-3 years,5-10 minutes,independent,animals and nature,66.83
Wind Tunnel Kit #48,STEM,3-6 years,30+ minutes,independent,animals and nature,47.5
Magnetic Science Set #49,STEM,6-9 years,15-30 minutes,social,fantasy and adventure,118.14
Wind Tunnel Kit #50,STEM,0-3 years,15-30 minutes,social,fantasy and adventure,16.91
Plant Growth Lab #51,STEM,3-6 years,30+ minutes,independent,creative arts and expression,37.4
Crystal Growing Kit #52,STEM,6-9 years,15-30 minutes,social,fantasy and adventure,61.18
Solar Robot Kit #53,STEM,0-3 years,5-10 minutes,social,animals and nature,5.41
Plant Growth Lab #54,STEM,6-9 years,15-30 minutes,social,fantasy and adventure,86.15
Telescope for Kids #55,STEM,0-3 years,5-10 minutes,independent,fantasy and adventure,9.14
Robot Building Set #56,STEM,6-9 years,15-30 minutes,independent,animals and nature,40.45
Solar Robot Kit #57,STEM,9-12 years,15-30 minutes,independent,fantasy and adventure,16.82
Telescope for Kids #58,STEM,9-12 years,30+ minutes,independent,animals and nature,104.43
Magnetic Science Set #59,STEM,9-12 years,5-10 minutes,social,creative arts and expression,97.26
Junior Engineer Set #60,STEM,3-6 years,15-30 minutes,independent,creative arts and expression,105.3
Stomp Rocket Set #61,STEM,3-6 years,15-30 minutes,social,creative arts and expression,40.1
Junior Engineer Set #62,STEM,3-6 years,15-30 minutes,social,creative arts and expression,37.04
Bug Exploration Kit #63,STEM,9-12 years,15-30 minutes,social,fantasy and adventure,117.83
Telescope for Kids #64,STEM,3-6 years,5-10 minutes,social,animals and nature,71.77
Electronic Circuit Kit #65,STEM,0-3 years,5-10 minutes,social,fantasy and adventure,95.44
Geology Kit #66,STEM,6-9 years,15-30 minutes,social,fantasy and adventure,26.86
Solar Robot Kit #67,STEM,6-9 years,5-10 minutes,independent,creative arts and expression,54.6
Rube Goldberg Kit #68,STEM,6-9 years,30+ minutes,independent,fantasy and adventure,108.51
Wind Tunnel Kit #69,STEM,3-6 years,15-30 minutes,social,fantasy and adventure,39
Plant Growth Lab #70,STEM,3-6 years,15-30 minutes,social,fantasy and adventure,91.04
Magnetic Science Set #71,STEM,6-9 years,15-30 minutes,independent,creative arts and expression,38
Geology Kit #72,STEM,6-9 years,30+ minutes,social,creative arts and expression,55.81
Crystal Growing Kit #73,STEM,6-9 years,30+ minutes,independent,fantasy and adventure,14.75
Wind Tunnel Kit #74,STEM,6-9 years,30+ minutes,independent,animals and nature,82.37
Junior Engineer Set #75,STEM,9-12 years,15-30 minutes,independent,animals and nature,118.15
Eco Adventure Pack #76,STEM,9-12 years,15-30 minutes,social,fantasy and adventure,71.2
Coding Robot #77,STEM,6-9 years,15-30 minutes,independent,animals and nature,94.52
Junior Engineer Set #78,STEM,3-6 years,30+ minutes,social,animals and nature,69.1
Weather Station #79,STEM,6-9 years,30+ minutes,social,creative arts and expression,75.46
Wind Tunnel Kit #80,STEM,6-9 years,30+ minutes,social,animals and nature,90.52
Stomp Rocket Set #81,STEM,6-9 years,30+ minutes,social,fantasy and adventure,60.73
Junior Engineer Set #82,STEM,3-6 years,5-10 minutes,social,animals and nature,36.25
Rube Goldberg Kit #83,STEM,9-12 years,15-30 minutes,independent,animals and nature,49.05
Plant Growth Lab #84,STEM,6-9 years,5-10 minutes,social,creative arts and expression,67.4
Geology Kit #85,STEM,0-3 years,15-30 minutes,social,fantasy and adventure,113.8
Microscope Kit #86,STEM,9-12 years,30+ minutes,social,creative arts and expression,5.68
Robot Building Set #87,STEM,3-6 years,5-10 minutes,social,fantasy and adventure,90.96
Telescope for Kids #88,STEM,6-9 years,30+ minutes,social,animals and nature,36.39
Stomp Rocket Set #89,STEM,0-3 years,5-10 minutes,social,fantasy and adventure,23.98
Junior Chemist Kit #90,STEM,9-12 years,30+ minutes,independent,creative arts and expression,73.07
Microscope Kit #91,STEM,0-3 years,5-10 minutes,social,animals and nature,10.78
Coding Robot #92,STEM,3-6 years,15-30 minutes,social,creative arts and expression,37
Geology Kit #93,STEM,3-6 years,5-10 minutes,independent,fantasy and adventure,67.03
Robot Building Set #94,STEM,3-6 years,5-10 minutes,independent,animals and nature,114.21
Crystal Growing Kit #95,STEM,9-12 years,30+ minutes,independent,animals and nature,59.46
Weather Station #96,STEM,6-9 years,15-30 minutes,social,creative arts and expression,24.3
Eco Adventure Pack #97,STEM,9-12 years,30+ minutes,independent,creative arts and expression,17.43
Microscope Kit #98,STEM,9-12 years,30+ minutes,social,creative arts and expression,113.27
Crystal Growing Kit #99,STEM,0-3 years,5-10 minutes,independent,animals and nature,85.18
Eco Science Explorer #100,STEM,9-12 years,30+ minutes,independent,fantasy and adventure,95
Sensory Ribbon Wand #1,Sensory,3-6 years,15-30 minutes,independent,fantasy and adventure,44.24
Glow-in-the-dark Slime #2,Sensory,6-9 years,15-30 minutes,social,fantasy and adventure,107.53
Stacking Sensory Cups #3,Sensory,3-6 years,15-30 minutes,social,fantasy and adventure,36.06
Soft Squishy Blocks #4,Sensory,3-6 years,15-30 minutes,social,fantasy and adventure,35.87
Calming Bottle #5,Sensory,6-9 years,5-10 minutes,social,animals and nature,91.3
Sensory Sorting Tray #6,Sensory,3-6 years,5-10 minutes,independent,creative arts and expression,25.91
Light & Sound Blocks #7,Sensory,0-3 years,5-10 minutes,independent,fantasy and adventure,85.64
Weighted Plush #8,Sensory,3-6 years,15-30 minutes,independent,animals and nature,87.81
Sound Matching Set #9,Sensory,3-6 years,5-10 minutes,independent,fantasy and adventure,61.44
Kinetic Sand Set #10,Sensory,0-3 years,5-10 minutes,independent,creative arts and expression,81.36
Sensory Ribbon Wand #11,Sensory,3-6 years,15-30 minutes,independent,fantasy and adventure,68.29
Sensory Ribbon Wand #12,Sensory,3-6 years,5-10 minutes,independent,animals and nature,87.95
Therapy Putty #13,Sensory,0-3 years,5-10 minutes,social,animals and nature,27.03
Sound Matching Set #14,Sensory,0-3 years,5-10 minutes,social,fantasy and adventure,37.54
Touch & Feel Blocks #15,Sensory,6-9 years,15-30 minutes,independent,creative arts and expression,6.63
Soft Squishy Blocks #16,Sensory,0-3 years,5-10 minutes,independent,creative arts and expression,85.2
Scented Play Dough #17,Sensory,3-6 years,15-30 minutes,independent,animals and nature,71.02
Sound Matching Set #18,Sensory,3-6 years,5-10 minutes,social,creative arts and expression,113.22
Sound Matching Set #19,Sensory,0-3 years,5-10 minutes,independent,fantasy and adventure,77.39
Water Beads Tub #20,Sensory,0-3 years,15-30 minutes,social,animals and nature,119.3
Touch & Feel Blocks #21,Sensory,3-6 years,15-30 minutes,independent,fantasy and adventure,30.95
Sensory Path Mat #22,Sensory,0-3 years,15-30 minutes,independent,fantasy and adventure,118.85
Fidget & Focus Kit #23,Sensory,3-6 years,5-10 minutes,social,animals and nature,113.97
Light & Sound Blocks #24,Sensory,3-6 years,5-10 minutes,independent,animals and nature,24.99
Sensory Bin Starter #25,Sensory,0-3 years,5-10 minutes,independent,creative arts and expression,38.49
Calming Bottle #26,Sensory,0-3 years,5-10 minutes,social,animals and nature,84.05
Weighted Plush #27,Sensory,3-6 years,15-30 minutes,independent,animals and nature,53.89
Soft Squishy Blocks #28,Sensory,0-3 years,5-10 minutes,independent,animals and nature,13.21
Textured Ball Set #29,Sensory,3-6 years,15-30 minutes,social,creative arts and expression,55.5
Stacking Sensory Cups #30,Sensory,3-6 years,15-30 minutes,social,fantasy and adventure,67.1
Stacking Sensory Cups #31,Sensory,0-3 years,5-10 minutes,independent,creative arts and expression,74.43
Kinetic Sand Set #32,Sensory,0-3 years,30+ minutes,social,fantasy and adventure,72.52
Kinetic Sand Set #33,Sensory,9-12 years,30+ minutes,independent,animals and nature,92.76
Textured Ball Set #34,Sensory,3-6 years,15-30 minutes,social,animals and nature,119.65
Glow-in-the-dark Slime #35,Sensory,3-6 years,15-30 minutes,independent,creative arts and expression,51.96
Therapy Putty #36,Sensory,3-6 years,30+ minutes,independent,fantasy and adventure,61.98
Bubble Tube #37,Sensory,6-9 years,15-30 minutes,independent,creative arts and expression,34.03
Touch & Feel Blocks #38,Sensory,9-12 years,30+ minutes,independent,animals and nature,80.63
Soft Squishy Blocks #39,Sensory,3-6 years,5-10 minutes,independent,fantasy and adventure,91.99
Stacking Sensory Cups #40,Sensory,3-6 years,5-10 minutes,independent,creative arts and expression,55.38
Sound Matching Set #41,Sensory,0-3 years,30+ minutes,independent,animals and nature,86.63
Fidget & Focus Kit #42,Sensory,3-6 years,15-30 minutes,independent,animals and nature,58.07
Touch & Feel Blocks #43,Sensory,3-6 years,5-10 minutes,social,creative arts and expression,63.52
Weighted Plush #44,Sensory,3-6 years,15-30 minutes,independent,creative arts and expression,68.4
Bubble Tube #45,Sensory,0-3 years,5-10 minutes,social,animals and nature,104.36
Weighted Plush #46,Sensory,3-6 years,30+ minutes,independent,fantasy and adventure,35.72
Kinetic Sand Set #47,Sensory,0-3 years,5-10 minutes,independent,fantasy and adventure,61.31
Scented Play Dough #48,Sensory,3-6 years,15-30 minutes,independent,fantasy and adventure,48.38
Therapy Putty #49,Sensory,6-9 years,30+ minutes,independent,creative arts and expression,31.86
Glow-in-the-dark Slime #50,Sensory,0-3 years,15-30 minutes,social,creative arts and expression,49.4
Scented Play Dough #51,Sensory,3-6 years,5-10 minutes,independent,fantasy and adventure,43.18
Touch & Feel Blocks #52,Sensory,6-9 years,15-30 minutes,independent,creative arts and expression,6.76
Scented Play Dough #53,Sensory,3-6 years,15-30 minutes,independent,creative arts and expression,94.88
Weighted Plush #54,Sensory,0-3 years,5-10 minutes,independent,creative arts and expression,103.02
Soft Squishy Blocks #55,Sensory,0-3 years,5-10 minutes,social,creative arts and expression,105.32
Water Beads Tub #56,Sensory,3-6 years,5-10 minutes,independent,creative arts and expression,119.7
Sensory Bin Starter #57,Sensory,3-6 years,5-10 minutes,independent,animals and nature,56.02
Fidget & Focus Kit #58,Sensory,6-9 years,5-10 minutes,social,creative arts and expression,46.22
Glow-in-the-dark Slime #59,Sensory,0-3 years,5-10 minutes,independent,animals and nature,24.55
Sensory Bin Starter #60,Sensory,3-6 years,5-10 minutes,independent,creative arts and expression,109.98
Scented Play Dough #61,Sensory,0-3 years,5-10 minutes,independent,fantasy and adventure,6.08
Stacking Sensory Cups #62,Sensory,6-9 years,30+ minutes,independent,creative arts and expression,113.7
Sensory Sorting Tray #63,Sensory,0-3 years,30+ minutes,independent,creative arts and expression,102.21
Light & Sound Blocks #64,Sensory,9-12 years,30+ minutes,independent,creative arts and expression,70.77
Sensory Sorting Tray #65,Sensory,0-3 years,5-10 minutes,independent,fantasy and adventure,50.52
Kinetic Sand Set #66,Sensory,3-6 years,15-30 minutes,social,animals and nature,109.72
Sound Matching Set #67,Sensory,6-9 years,30+ minutes,social,animals and nature,74.81
Sensory Ribbon Wand #68,Sensory,0-3 years,5-10 minutes,independent,fantasy and adventure,93.26
Scented Play Dough #69,Sensory,3-6 years,30+ minutes,independent,creative arts and expression,95.69
Water Beads Tub #70,Sensory,3-6 years,15-30 minutes,independent,creative arts and expression,42.57
Glow-in-the-dark Slime #71,Sensory,0-3 years,5-10 minutes,independent,creative arts and expression,66.05
Weighted Plush #72,Sensory,6-9 years,15-30 minutes,social,creative arts and expression,116.25
Fidget & Focus Kit #73,Sensory,3-6 years,5-10 minutes,independent,animals and nature,21.19
Calming Bottle #74,Sensory,6-9 years,30+ minutes,social,fantasy and adventure,47.06
Bubble Tube #75,Sensory,0-3 years,5-10 minutes,independent,fantasy and adventure,91.14
Weighted Plush #76,Sensory,3-6 years,15-30 minutes,social,animals and nature,82.61
Sound Matching Set #77,Sensory,0-3 years,15-30 minutes,independent,fantasy and adventure,30.46
Sensory Bin Starter #78,Sensory,3-6 years,15-30 minutes,social,fantasy and adventure,51.95
Scented Play Dough #79,Sensory,0-3 years,5-10 minutes,social,animals and nature,16.18
Soft Squishy Blocks #80,Sensory,0-3 years,5-10 minutes,independent,fantasy and adventure,85.1
Soft Squishy Blocks #81,Sensory,3-6 years,15-30 minutes,independent,creative arts and expression,80.32
Sound Matching Set #82,Sensory,3-6 years,30+ minutes,independent,fantasy and adventure,47.61
Stacking Sensory Cups #83,Sensory,3-6 years,5-10 minutes,independent,fantasy and adventure,47.24
Sensory Ribbon Wand #84,Sensory,0-3 years,5-10 minutes,social,creative arts and expression,15.54
Light & Sound Blocks #85,Sensory,3-6 years,15-30 minutes,independent,creative arts and expression,33.01
Scented Play Dough #86,Sensory,3-6 years,5-10 minutes,social,fantasy and adventure,28.82
Light & Sound Blocks #87,Sensory,6-9 years,15-30 minutes,social,fantasy and adventure,5.33
Scented Play Dough #88,Sensory,9-12 years,30+ minutes,social,animals and nature,81.02
Kinetic Sand Set #89,Sensory,0-3 years,5-10 minutes,social,fantasy and adventure,42.23
Textured Ball Set #90,Sensory,0-3 years,5-10 minutes,independent,animals and nature,90.75
Sound Matching Set #91,Sensory,3-6 years,5-10 minutes,independent,creative arts and expression,62.94
Tactile Puzzle #92,Sensory,0-3 years,15-30 minutes,social,fantasy and adventure,39.69
Kinetic Sand Set #93,Sensory,0-3 years,5-10 minutes,independent,fantasy and adventure,17.42
Stacking Sensory Cups #94,Sensory,0-3 years,5-10 minutes,independent,animals and nature,19.51
Tactile Puzzle #95,Sensory,3-6 years,15-30 minutes,independent,fantasy and adventure,66.01
Stacking Sensory Cups #96,Sensory,3-6 years,15-30 minutes,social,animals and nature,103.07
Soft Squishy Blocks #97,Sensory,3-6 years,5-10 minutes,independent,animals and nature,52.59
Stacking Sensory Cups #98,Sensory,0-3 years,15-30 minutes,independent,creative arts and expression,81.49
Sensory Ribbon Wand #99,Sensory,9-12 years,30+ minutes,independent,animals and nature,100.65
Sensory Bin Starter #100,Sensory,3-6 years,15-30 minutes,independent,animals and nature,68.98
Tea Party Set #1,Imaginative Play,9-12 years,30+ minutes,social,creative arts and expression,45.66
Play Tent & Fort #2,Imaginative Play,6-9 years,30+ minutes,social,fantasy and adventure,40.93
Doctor Role Kit #3,Imaginative Play,3-6 years,5-10 minutes,social,animals and nature,102.44
Fairy Garden Kit #4,Imaginative Play,6-9 years,15-30 minutes,social,fantasy and adventure,31.01
Play Tent & Fort #5,Imaginative Play,6-9 years,30+ minutes,social,fantasy and adventure,82.62
Action Hero Headquarters #6,Imaginative Play,0-3 years,15-30 minutes,social,creative arts and expression,8.33
Toy Garage & Cars #7,Imaginative Play,6-9 years,15-30 minutes,independent,animals and nature,25.86
Castle Adventure Set #8,Imaginative Play,3-6 years,15-30 minutes,independent,fantasy and adventure,116.76
Play Kitchen Mini #9,Imaginative Play,6-9 years,15-30 minutes,social,creative arts and expression,23.1
Knight & Dragon Set #10,Imaginative Play,6-9 years,30+ minutes,social,animals and nature,106.58
Castle Adventure Set #11,Imaginative Play,3-6 years,15-30 minutes,social,creative arts and expression,55.96
Play Tent & Fort #12,Imaginative Play,3-6 years,15-30 minutes,independent,fantasy and adventure,18.09
Play Tent & Fort #13,Imaginative Play,0-3 years,5-10 minutes,social,fantasy and adventure,81.72
Pirate Ship Playset #14,Imaginative Play,3-6 years,30+ minutes,independent,animals and nature,39.66
Dress-up Costume Pack #15,Imaginative Play,6-9 years,30+ minutes,independent,animals and nature,5.89
Play Tent & Fort #16,Imaginative Play,3-6 years,5-10 minutes,social,fantasy and adventure,69.25
Fairy Garden Kit #17,Imaginative Play,0-3 years,15-30 minutes,independent,animals and nature,57.87
Play Kitchen Mini #18,Imaginative Play,6-9 years,15-30 minutes,social,fantasy and adventure,78.62
Knight & Dragon Set #19,Imaginative Play,0-3 years,5-10 minutes,independent,fantasy and adventure,57.91
Fairy Garden Kit #20,Imaginative Play,0-3 years,15-30 minutes,independent,fantasy and adventure,51.05
Play Kitchen Mini #21,Imaginative Play,3-6 years,5-10 minutes,independent,creative arts and expression,94.6
Play Kitchen Mini #22,Imaginative Play,3-6 years,5-10 minutes,social,creative arts and expression,45.38
Castle Adventure Set #23,Imaginative Play,3-6 years,5-10 minutes,independent,fantasy and adventure,22.58
Play Kitchen Mini #24,Imaginative Play,3-6 years,15-30 minutes,social,fantasy and adventure,92.39
Camping Pretend Play #25,Imaginative Play,6-9 years,30+ minutes,social,fantasy and adventure,42.17
Space Adventure Playset #26,Imaginative Play,3-6 years,5-10 minutes,social,creative arts and expression,96.58
Tea Party Set #27,Imaginative Play,0-3 years,5-10 minutes,independent,creative arts and expression,9.32
Fairy Garden Kit #28,Imaginative Play,6-9 years,5-10 minutes,social,animals and nature,75.73
Princess Carriage #29,Imaginative Play,3-6 years,15-30 minutes,social,fantasy and adventure,108.03
Camping Pretend Play #30,Imaginative Play,9-12 years,30+ minutes,independent,fantasy and adventure,59.7
Castle Adventure Set #31,Imaginative Play,9-12 years,30+ minutes,social,creative arts and expression,117.97
Play Kitchen Mini #32,Imaginative Play,3-6 years,5-10 minutes,independent,creative arts and expression,118.96
Princess Carriage #33,Imaginative Play,3-6 years,5-10 minutes,independent,creative arts and expression,49.55
Space Adventure Playset #34,Imaginative Play,6-9 years,5-10 minutes,social,creative arts and expression,12.58
Doctor Role Kit #35,Imaginative Play,3-6 years,5-10 minutes,independent,fantasy and adventure,115.91
Pet Vet Clinic #36,Imaginative Play,6-9 years,15-30 minutes,social,animals and nature,110.43
Knight & Dragon Set #37,Imaginative Play,9-12 years,30+ minutes,independent,fantasy and adventure,86.52
Play Kitchen Mini #38,Imaginative Play,3-6 years,5-10 minutes,social,animals and nature,82.06
Princess Carriage #39,Imaginative Play,0-3 years,5-10 minutes,social,animals and nature,46.7
Animal Farm Playset #40,Imaginative Play,9-12 years,30+ minutes,social,animals and nature,31.05
Castle Adventure Set #41,Imaginative Play,3-6 years,5-10 minutes,social,fantasy and adventure,93.65
Princess Carriage #42,Imaginative Play,0-3 years,5-10 minutes,social,animals and nature,73.68
Castle Adventure Set #43,Imaginative Play,3-6 years,15-30 minutes,social,animals and nature,87.94
Pirate Ship Playset #44,Imaginative Play,3-6 years,15-30 minutes,independent,creative arts and expression,75.22
Camping Pretend Play #45,Imaginative Play,3-6 years,5-10 minutes,social,creative arts and expression,108.96
Dress-up Costume Pack #46,Imaginative Play,3-6 years,30+ minutes,social,creative arts and expression,93.49
Toy Cash Register #47,Imaginative Play,3-6 years,15-30 minutes,independent,animals and nature,97.14
Castle Adventure Set #48,Imaginative Play,6-9 years,5-10 minutes,social,creative arts and expression,68.77
Doctor Role Kit #49,Imaginative Play,6-9 years,15-30 minutes,independent,animals and nature,92.76
Toy Garage & Cars #50,Imaginative Play,3-6 years,15-30 minutes,social,animals and nature,113.84
Puppet Theater #51,Imaginative Play,6-9 years,30+ minutes,social,creative arts and expression,11.12
Princess Carriage #52,Imaginative Play,3-6 years,5-10 minutes,independent,animals and nature,8.24
Doctor Role Kit #53,Imaginative Play,6-9 years,30+ minutes,social,animals and nature,9.4
Tool Bench Kit #54,Imaginative Play,6-9 years,15-30 minutes,social,creative arts and expression,75.77
Play Kitchen Mini #55,Imaginative Play,0-3 years,5-10 minutes,independent,fantasy and adventure,75.02
Play Tent & Fort #56,Imaginative Play,0-3 years,5-10 minutes,independent,animals and nature,32.42
Pet Vet Clinic #57,Imaginative Play,3-6 years,5-10 minutes,social,fantasy and adventure,66.65
Princess Carriage #58,Imaginative Play,3-6 years,15-30 minutes,independent,animals and nature,75.7
Puppet Theater #59,Imaginative Play,3-6 years,5-10 minutes,social,fantasy and adventure,117.09
Play Kitchen Mini #60,Imaginative Play,9-12 years,30+ minutes,social,fantasy and adventure,68.73
Toy Cash Register #61,Imaginative Play,6-9 years,5-10 minutes,independent,creative arts and expression,34.17
Dollhouse Starter #62,Imaginative Play,3-6 years,5-10 minutes,independent,fantasy and adventure,77.25
Tea Party Set #63,Imaginative Play,6-9 years,15-30 minutes,independent,fantasy and adventure,43.93
Animal Farm Playset #64,Imaginative Play,6-9 years,30+ minutes,social,creative arts and expression,77.65
Castle Adventure Set #65,Imaginative Play,0-3 years,15-30 minutes,social,creative arts and expression,28.18
Dress-up Costume Pack #66,Imaginative Play,6-9 years,15-30 minutes,independent,creative arts and expression,118.75
Action Hero Headquarters #67,Imaginative Play,3-6 years,5-10 minutes,social,creative arts and expression,46.05
Pirate Ship Playset #68,Imaginative Play,6-9 years,15-30 minutes,independent,creative arts and expression,55.25
Toy Cash Register #69,Imaginative Play,6-9 years,30+ minutes,independent,animals and nature,62.06
Tool Bench Kit #70,Imaginative Play,3-6 years,15-30 minutes,independent,animals and nature,88.61
Play Kitchen Mini #71,Imaginative Play,3-6 years,30+ minutes,independent,creative arts and expression,41.94
Play Kitchen Mini #72,Imaginative Play,3-6 years,5-10 minutes,social,fantasy and adventure,54
Camping Pretend Play #73,Imaginative Play,3-6 years,5-10 minutes,social,creative arts and expression,75.71
Play Tent & Fort #74,Imaginative Play,3-6 years,30+ minutes,social,animals and nature,82.19
Toy Cash Register #75,Imaginative Play,3-6 years,15-30 minutes,social,animals and nature,21.42
Pet Vet Clinic #76,Imaginative Play,6-9 years,15-30 minutes,independent,animals and nature,94.53
Fairy Garden Kit #77,Imaginative Play,3-6 years,30+ minutes,independent,animals and nature,83.09
Fairy Garden Kit #78,Imaginative Play,3-6 years,15-30 minutes,social,fantasy and adventure,47.2
Space Adventure Playset #79,Imaginative Play,6-9 years,15-30 minutes,independent,fantasy and adventure,26.4
Princess Carriage #80,Imaginative Play,3-6 years,15-30 minutes,independent,creative arts and expression,85.96
Dress-up Costume Pack #81,Imaginative Play,9-12 years,15-30 minutes,social,creative arts and expression,28.02
Castle Adventure Set #82,Imaginative Play,6-9 years,15-30 minutes,social,creative arts and expression,119.69
Space Adventure Playset #83,Imaginative Play,6-9 years,30+ minutes,social,creative arts and expression,107.5
Animal Farm Playset #84,Imaginative Play,6-9 years,30+ minutes,social,creative arts and expression,63.51
Doctor Role Kit #85,Imaginative Play,9-12 years,30+ minutes,independent,creative arts and expression,8.02
Action Hero Headquarters #86,Imaginative Play,3-6 years,15-30 minutes,social,animals and nature,75.37
Play Kitchen Mini #87,Imaginative Play,0-3 years,5-10 minutes,social,creative arts and expression,65.46
Play Tent & Fort #88,Imaginative Play,6-9 years,5-10 minutes,social,fantasy and adventure,13.53
Camping Pretend Play #89,Imaginative Play,6-9 years,15-30 minutes,social,fantasy and adventure,78.58
Animal Farm Playset #90,Imaginative Play,6-9 years,15-30 minutes,social,animals and nature,100.61
Princess Carriage #91,Imaginative Play,3-6 years,5-10 minutes,independent,fantasy and adventure,30.93
Princess Carriage #92,Imaginative Play,6-9 years,30+ minutes,independent,fantasy and adventure,114.98
Toy Garage & Cars #93,Imaginative Play,0-3 years,5-10 minutes,social,fantasy and adventure,78.71
Tea Party Set #94,Imaginative Play,9-12 years,15-30 minutes,social,fantasy and adventure,108.73
Space Adventure Playset #95,Imaginative Play,6-9 years,15-30 minutes,social,animals and nature,14.34
Tea Party Set #96,Imaginative Play,3-6 years,5-10 minutes,social,fantasy and adventure,78.48
Tool Bench Kit #97,Imaginative Play,6-9 years,15-30 minutes,social,creative arts and expression,60.54
Toy Cash Register #98,Imaginative Play,3-6 years,5-10 minutes,independent,creative arts and expression,52.8
Camping Pretend Play #99,Imaginative Play,3-6 years,15-30 minutes,independent,fantasy and adventure,41.72
Fairy Garden Kit #100,Imaginative Play,9-12 years,15-30 minutes,independent,fantasy and adventure,17.21
Obstacle Course Kit #1,Motor Skills,3-6 years,5-10 minutes,independent,animals and nature,10.82
Buttoning Practice Doll #2,Motor Skills,6-9 years,15-30 minutes,social,animals and nature,98.55
Motor Skills Puzzle #3,Motor Skills,6-9 years,15-30 minutes,independent,fantasy and adventure,58.68
Foam Pogo Jumper #4,Motor Skills,3-6 years,5-10 minutes,independent,creative arts and expression,116.17
